prey predator tau1
0.46974221 0.22540738 0.096249998
3.5857308e-08 0.69509745 0.096249998
0.46974185 0.22540861 0.096249998
3.5857965e-08 0.69511193 0.096249998
0.46974149 0.22540985 0.096249998
3.5858609e-08 0.69510961 0.096249998
0.46974096 0.22539848 0.096249998
2.2754145e-07 0.65428019 0.1135
0.42797479 0.22633755 0.1135
2.2754504e-07 0.6542716 0.1135
0.42797446 0.22634424 0.1135
2.2754861e-07 0.65426356 0.1135
0.42797408 0.22633532 0.1135
2.2755225e-07 0.65427345 0.1135
0.42797372 0.22634226 0.1135
2.2755582e-07 0.65426511 0.1135
0.42797342 0.22634868 0.1135
2.2755944e-07 0.65427512 0.1135
0.42797297 0.22634038 0.1135
2.2756302e-07 0.65426654 0.1135
0.42797264 0.22634704 0.1135
2.2756663e-07 0.65427661 0.1135
0.42797223 0.22633864 0.1135
0.38862345 0.22725582 0.13075
1.1764772e-06 0.61583871 0.13075
0.38862312 0.22725557 0.13075
1.1764932e-06 0.61583865 0.13075
0.38862279 0.22725537 0.13075
1.1765093e-06 0.61583853 0.13075
0.38862243 0.22725521 0.13075
1.1765254e-06 0.61583841 0.13075
0.38862211 0.22725509 0.13075
1.1765414e-06 0.61583823 0.13075
0.38862178 0.22725502 0.13075
1.1765575e-06 0.61583793 0.13075
0.38862142 0.22725499 0.13075
1.1765735e-06 0.61583763 0.13075
0.38862109 0.227255 0.13075
1.1765895e-06 0.61583728 0.13075
0.38862076 0.22725508 0.13075
0.35201126 0.2281259 0.148
4.9813734e-06 0.58007061 0.148
0.35201097 0.22812559 0.148
4.9814312e-06 0.58007067 0.148
0.35201067 0.2281253 0.148
4.9814885e-06 0.58007067 0.148
0.35201037 0.22812507 0.148
4.9815462e-06 0.58007061 0.148
0.35201007 0.22812487 0.148
4.9816035e-06 0.58007056 0.148
0.35200974 0.22812471 0.148
4.9816608e-06 0.58007038 0.148
0.35200945 0.2281246 0.148
4.9817186e-06 0.5800702 0.148
0.35200915 0.22812453 0.148
4.9817759e-06 0.58007002 0.148
1.7896769e-05 0.54651684 0.16525
0.31765944 0.22893815 0.16525
1.789694e-05 0.546516 0.16525
0.31765917 0.22893873 0.16525
1.7897111e-05 0.54651511 0.16525
0.3176589 0.22893935 0.16525
1.7897282e-05 0.54651415 0.16525
0.31765863 0.22894002 0.16525
1.7897453e-05 0.5465132 0.16525
0.31765836 0.22894073 0.16525
1.7897626e-05 0.54651219 0.16525
0.31765813 0.22894146 0.16525
1.7897797e-05 0.54651117 0.16525
0.31765786 0.22894223 0.16525
1.7897968e-05 0.5465101 0.16525
0.31765759 0.22894304 0.16525
1.7898139e-05 0.54650897 0.16525
0.28509229 0.2297301 0.1825
5.6219764e-05 0.51470125 0.1825
0.28509206 0.22973444 0.1825
5.6220204e-05 0.51471734 0.1825
0.28509185 0.22973873 0.1825
